size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
4,"2,4,6,13","(2.000,0.000);(1.500,0.500);(2.500,0.500);(1.500,2.000)","0.12500,0.12500,0.18800,0.12500",157.3332352974183,1.875,0.75,2.9375
4,"3,4,5,13","(2.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,2.000)","0.18800,0.12500,0.25000,0.12500",157.3332352974183,1.875,0.75,2.9375
4,"1,5,6,13","(1.500,0.000);(2.000,0.500);(2.500,0.500);(1.500,2.000)","0.18800,0.25000,0.18800,0.12500",157.33323529741833,1.875,0.75,2.9375
4,"2,5,12,15","(2.000,0.000);(2.000,0.500);(2.500,1.500);(2.500,2.000)","0.12500,0.25000,0.12500,0.18800",157.33701481354353,2.25,1.0,2.75
4,"2,6,11,15","(2.000,0.000);(2.500,0.500);(2.000,1.500);(2.500,2.000)","0.12500,0.18800,0.25000,0.18800",157.33701481354353,2.25,1.0,2.75
4,"2,6,12,14","(2.000,0.000);(2.500,0.500);(2.500,1.500);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500",157.33701481354353,2.25,1.0,2.75
4,"3,5,12,14","(2.500,0.000);(2.000,0.500);(2.500,1.500);(2.000,2.000)","0.18800,0.25000,0.12500,0.12500",157.33701481354353,2.25,1.0,2.75
4,"3,6,11,14","(2.500,0.000);(2.500,0.500);(2.000,1.500);(2.000,2.000)","0.18800,0.18800,0.25000,0.12500",157.33701481354353,2.25,1.0,2.75
4,"1,4,7,10","(1.500,0.000);(1.500,0.500);(1.500,1.000);(1.500,1.500)","0.18800,0.12500,0.18800,0.12500",157.65524929664664,1.5,0.75,1.25
4,"4,7,10,13","(1.500,0.500);(1.500,1.000);(1.500,1.500);(1.500,2.000)","0.12500,0.18800,0.12500,0.12500",157.65524929664664,1.5,1.25,1.25
4,"1,4,8,10","(1.500,0.000);(1.500,0.500);(2.000,1.000);(1.500,1.500)","0.18800,0.12500,0.12500,0.12500",157.70693807308692,1.625,0.75,1.4375
4,"1,5,7,10","(1.500,0.000);(2.000,0.500);(1.500,1.000);(1.500,1.500)","0.18800,0.25000,0.18800,0.12500",157.70693807308692,1.625,0.75,1.4375
4,"4,7,11,13","(1.500,0.500);(1.500,1.000);(2.000,1.500);(1.500,2.000)","0.12500,0.18800,0.25000,0.12500",157.70693807308692,1.625,1.25,1.4375
4,"4,8,10,13","(1.500,0.500);(2.000,1.000);(1.500,1.500);(1.500,2.000)","0.12500,0.12500,0.12500,0.12500",157.70693807308692,1.625,1.25,1.4375
4,"2,4,7,10","(2.000,0.000);(1.500,0.500);(1.500,1.000);(1.500,1.500)","0.12500,0.12500,0.18800,0.12500",157.70693807308697,1.625,0.75,1.4375
4,"4,7,10,14","(1.500,0.500);(1.500,1.000);(1.500,1.500);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500",157.70693807308697,1.625,1.25,1.4375
4,"5,7,10,13","(2.000,0.500);(1.500,1.000);(1.500,1.500);(1.500,2.000)","0.25000,0.18800,0.12500,0.12500",157.70693807308697,1.625,1.25,1.4375
4,"1,3,6,14","(1.500,0.000);(2.500,0.000);(2.500,0.500);(2.000,2.000)","0.18800,0.18800,0.18800,0.12500",159.0232514237692,2.125,0.625,3.375
4,"2,12,13,15","(2.000,0.000);(2.500,1.500);(1.500,2.000);(2.500,2.000)","0.12500,0.12500,0.12500,0.18800",159.0232514237692,2.125,1.375,3.375
4,"6,8,9,15","(2.500,0.500);(2.000,1.000);(2.500,1.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.18800",159.4909575931074,2.375,1.125,1.375
4,"1,2,8,10","(1.500,0.000);(2.000,0.000);(2.000,1.000);(1.500,1.500)","0.18800,0.12500,0.12500,0.12500",159.63421284876554,1.75,0.625,1.9375
4,"1,4,6,10","(1.500,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.500)","0.18800,0.12500,0.18800,0.12500",159.63421284876554,1.75,0.625,1.9375
4,"4,10,12,13","(1.500,0.500);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.12500,0.12500,0.12500",159.63421284876554,1.75,1.375,1.9375
4,"4,5,11,13","(1.500,0.500);(2.000,0.500);(2.000,1.500);(1.500,2.000)","0.12500,0.25000,0.25000,0.12500",159.63421284876554,1.75,1.125,1.9375
4,"4,7,9,13","(1.500,0.500);(1.500,1.000);(2.500,1.000);(1.500,2.000)","0.12500,0.18800,0.12500,0.12500",159.63421284876554,1.75,1.125,1.9375
4,"4,8,13,14","(1.500,0.500);(2.000,1.000);(1.500,2.000);(2.000,2.000)","0.12500,0.12500,0.12500,0.12500",159.63421284876554,1.75,1.375,1.9375
4,"6,7,9,12","(2.500,0.500);(1.500,1.000);(2.500,1.000);(2.500,1.500)","0.18800,0.18800,0.12500,0.12500",159.7282342085064,2.25,1.0,1.25
4,"4,7,9,10","(1.500,0.500);(1.500,1.000);(2.500,1.000);(1.500,1.500)","0.12500,0.18800,0.12500,0.12500",159.72823420850642,1.75,1.0,1.25
4,"7,10,12,13","(1.500,1.000);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.12500,0.12500,0.12500",159.72823420850642,1.75,1.5,1.25
4,"4,5,10,11","(1.500,0.500);(2.000,0.500);(1.500,1.500);(2.000,1.500)","0.12500,0.25000,0.12500,0.25000",159.72823420850645,1.75,1.0,1.25
