size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
5,"1,2,5,6,11","(1.500,0.000);(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.500)","0.18800,0.12500,0.25000,0.18800,0.25000",273.45895791698365,2.0,0.5,2.0
5,"2,3,10,11,14","(2.000,0.000);(2.500,0.000);(1.500,1.500);(2.000,1.500);(2.000,2.000)","0.12500,0.18800,0.12500,0.25000,0.12500",273.45895791698365,2.0,1.0,4.0
5,"2,4,5,14,15","(2.000,0.000);(1.500,0.500);(2.000,0.500);(2.000,2.000);(2.500,2.000)","0.12500,0.12500,0.25000,0.12500,0.18800",273.45895791698365,2.0,1.0,4.0
5,"3,6,9,12,15","(2.500,0.000);(2.500,0.500);(2.500,1.000);(2.500,1.500);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",273.45895791698365,2.5,1.0,2.5
5,"1,3,6,7,8","(1.500,0.000);(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000)","0.18800,0.18800,0.18800,0.18800,0.12500",273.4589579169837,2.0,0.5,2.0
5,"1,4,9,13,15","(1.500,0.000);(1.500,0.500);(2.500,1.000);(1.500,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",273.47600686006916,1.9,1.1,4.4
5,"1,6,7,13,15","(1.500,0.000);(2.500,0.500);(1.500,1.000);(1.500,2.000);(2.500,2.000)","0.18800,0.18800,0.18800,0.12500,0.18800",273.47600686006916,1.9,1.1,4.4
5,"3,4,7,13,15","(2.500,0.000);(1.500,0.500);(1.500,1.000);(1.500,2.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.18800",273.47600686006916,1.9,1.1,4.4
5,"1,2,4,11,12","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.000,1.500);(2.500,1.500)","0.18800,0.12500,0.12500,0.25000,0.12500",273.8790180077773,1.9,0.7,3.0
5,"1,2,7,10,14","(1.500,0.000);(2.000,0.000);(1.500,1.000);(1.500,1.500);(2.000,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500",274.2125825914554,1.7,0.9,3.5000000000000004
5,"2,4,7,13,14","(2.000,0.000);(1.500,0.500);(1.500,1.000);(1.500,2.000);(2.000,2.000)","0.12500,0.12500,0.18800,0.12500,0.12500",274.2125825914554,1.7,1.1,3.5
5,"1,7,10,12,13","(1.500,0.000);(1.500,1.000);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.12500",274.2324932019668,1.7,1.2,3.1000000000000005
5,"1,7,8,13,14","(1.500,0.000);(1.500,1.000);(2.000,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.18800,0.12500,0.12500,0.12500",274.2324932019668,1.7,1.2,3.1000000000000005
5,"1,7,8,11,12","(1.500,0.000);(1.500,1.000);(2.000,1.000);(2.000,1.500);(2.500,1.500)","0.18800,0.18800,0.12500,0.25000,0.12500",274.54670277580385,1.9,1.0,2.2
5,"1,2,6,9,15","(1.500,0.000);(2.000,0.000);(2.500,0.500);(2.500,1.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.18800",274.97023824645214,2.2,0.7,3.6
5,"1,9,12,14,15","(1.500,0.000);(2.500,1.000);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",274.97023824645214,2.2,1.3,3.6000000000000005
5,"2,3,6,7,15","(2.000,0.000);(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.500,2.000)","0.12500,0.18800,0.18800,0.18800,0.18800",274.97023824645214,2.2,0.7,3.6
5,"3,7,12,14,15","(2.500,0.000);(1.500,1.000);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.18800,0.18800,0.12500,0.12500,0.18800",274.97023824645214,2.2,1.3,3.6
5,"1,2,3,13,14","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500",275.2612338053754,1.9,0.8,5.5
5,"1,4,5,9,15","(1.500,0.000);(1.500,0.500);(2.000,0.500);(2.500,1.000);(2.500,2.000)","0.18800,0.12500,0.25000,0.12500,0.18800",275.31777158281943,2.0,0.8,3.3000000000000003
5,"1,4,6,8,15","(1.500,0.000);(1.500,0.500);(2.500,0.500);(2.000,1.000);(2.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.18800",275.31777158281943,2.0,0.8,3.3000000000000003
5,"1,8,10,12,15","(1.500,0.000);(2.000,1.000);(1.500,1.500);(2.500,1.500);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",275.31777158281943,2.0,1.2,3.3000000000000003
5,"1,9,10,11,15","(1.500,0.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(2.500,2.000)","0.18800,0.12500,0.12500,0.25000,0.18800",275.31777158281943,2.0,1.2,3.3000000000000003
5,"1,9,10,12,14","(1.500,0.000);(2.500,1.000);(1.500,1.500);(2.500,1.500);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500",275.31777158281943,2.0,1.2,3.3000000000000003
