size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
7,"4,6,9,12,13,14,15","(1.500,0.500);(2.500,0.500);(2.500,1.000);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.18800",229.81614641018467,2.142857142857143,1.3571428571428572,4.214285714285714
7,"1,4,5,7,8,11,13","(1.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.000,1.500);(1.500,2.000)","0.18800,0.12500,0.25000,0.18800,0.12500,0.25000,0.12500",230.26398009285444,1.7142857142857142,0.9285714285714286,3.142857142857143
7,"2,4,5,7,8,10,13","(2.000,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.000,1.000);(1.500,1.500);(1.500,2.000)","0.12500,0.12500,0.25000,0.18800,0.12500,0.12500,0.12500",230.26398009285444,1.7142857142857142,0.9285714285714286,3.142857142857143
7,"1,2,3,5,6,11,14","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.500);(2.000,2.000)","0.18800,0.12500,0.18800,0.25000,0.18800,0.25000,0.12500",230.30151542636887,2.0714285714285716,0.6428571428571429,4.571428571428572
7,"1,2,3,6,7,9,14","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.500,1.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.18800,0.18800,0.12500,0.12500",230.30151542636887,2.0714285714285716,0.6428571428571429,4.571428571428572
7,"2,5,11,12,13,14,15","(2.000,0.000);(2.000,0.500);(2.000,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.25000,0.25000,0.12500,0.12500,0.12500,0.18800",230.30151542636887,2.0714285714285716,1.3571428571428572,4.571428571428571
7,"2,7,9,12,13,14,15","(2.000,0.000);(1.500,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.18800",230.30151542636887,2.0714285714285716,1.3571428571428572,4.571428571428571
7,"2,7,9,11,13,14,15","(2.000,0.000);(1.500,1.000);(2.500,1.000);(2.000,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.25000,0.12500,0.12500,0.18800",230.4135107322815,2.0,1.3571428571428572,4.357142857142858
7,"1,2,3,4,8,9,14","(1.500,0.000);(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,1.000);(2.500,1.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500,0.12500,0.12500",230.4135107322816,2.0,0.6428571428571429,4.357142857142858
7,"1,2,3,5,7,9,14","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.000,0.500);(1.500,1.000);(2.500,1.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.25000,0.18800,0.12500,0.12500",230.4135107322816,2.0,0.6428571428571429,4.357142857142858
7,"1,2,3,6,7,8,14","(1.500,0.000);(2.000,0.000);(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.18800,0.18800,0.12500,0.12500",230.4135107322816,2.0,0.6428571428571429,4.357142857142858
7,"2,7,8,12,13,14,15","(2.000,0.000);(1.500,1.000);(2.000,1.000);(2.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.18800",230.4135107322816,2.0,1.3571428571428572,4.357142857142858
7,"2,8,9,10,13,14,15","(2.000,0.000);(2.000,1.000);(2.500,1.000);(1.500,1.500);(1.500,2.000);(2.000,2.000);(2.500,2.000)","0.12500,0.12500,0.12500,0.12500,0.12500,0.12500,0.18800",230.4135107322816,2.0,1.3571428571428572,4.357142857142858
7,"4,5,7,8,10,12,13","(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.000,1.000);(1.500,1.500);(2.500,1.500);(1.500,2.000)","0.12500,0.25000,0.18800,0.12500,0.12500,0.12500,0.12500",230.49794480128534,1.7857142857142858,1.1428571428571428,2.7857142857142856
7,"4,6,7,8,10,11,13","(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.12500,0.18800,0.18800,0.12500,0.12500,0.25000,0.12500",230.49794480128534,1.7857142857142858,1.1428571428571428,2.785714285714286
7,"4,7,8,10,11,13,15","(1.500,0.500);(1.500,1.000);(2.000,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.25000,0.12500,0.18800",230.49794480128534,1.7857142857142858,1.3571428571428572,2.785714285714286
7,"4,7,9,10,11,13,14","(1.500,0.500);(1.500,1.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500,0.25000,0.12500,0.12500",230.49794480128534,1.7857142857142858,1.3571428571428572,2.7857142857142856
7,"1,2,4,5,7,9,10","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.500,1.000);(1.500,1.500)","0.18800,0.12500,0.12500,0.25000,0.18800,0.12500,0.12500",230.49794480128537,1.7857142857142858,0.6428571428571429,2.7857142857142856
7,"1,2,4,6,7,8,10","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(1.500,1.500)","0.18800,0.12500,0.12500,0.18800,0.18800,0.12500,0.12500",230.49794480128537,1.7857142857142858,0.6428571428571429,2.7857142857142856
